State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Maharashtra,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
Maharashtra,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
Maharashtra,Baramati(35),SUPRIYA SULE,732312,158333
Maharashtra,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
Maharashtra,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
Maharashtra,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
Maharashtra,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
Maharashtra,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
Maharashtra,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
Maharashtra,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
Maharashtra,Thane(25),NARESH GANPAT MHASKE,734231,217011
Maharashtra,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
Maharashtra,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
Maharashtra,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
Maharashtra,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784
Maharashtra,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
Manipur,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
Manipur,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
Meghalaya,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910
Meghalaya,Tura(2),SALENG A SANGMA,383919,155241
Mizoram,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288
Nagaland,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
NCT OF Delhi,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
NCT OF Delhi,North-East Delhi(2),MANOJ TIWARI,824451,138778
NCT OF Delhi,East Delhi(3),HARSH MALHOTRA,664819,93663
NCT OF Delhi,New Delhi(4),BANSURI SWARAJ,453185,78370
NCT OF Delhi,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
NCT OF Delhi,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
NCT OF Delhi,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
Odisha,Bargarh(1),PRADEEP PUROHIT,716359,251667
Odisha,Sundargarh(2),JUAL ORAM,494282,138808
Odisha,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
Odisha,Keonjhar(4),ANANTA NAYAK,573923,97042
Odisha,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
Odisha,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
Odisha,Bhadrak(7),AVIMANYU SETHI,573319,91544
Odisha,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
Odisha,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
Odisha,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
Odisha,Kalahandi(11),MALVIKA DEVI,544303,133813
Odisha,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
Odisha,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
Odisha,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
Odisha,Kendrapara(15),BAIJAYANT PANDA,615705,66536
Odisha,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
Odisha,Puri(17),SAMBIT PATRA,629330,104709
Odisha,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
Odisha,Aska(19),ANITA SUBHADARSHINI,494226,99974
Odisha,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
Odisha,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Puducherry,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
Punjab,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Punjab,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Punjab,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Punjab,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Punjab,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Punjab,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Punjab,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
Punjab,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
Punjab,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
Punjab,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
Punjab,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
Punjab,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
Punjab,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
Rajasthan,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
Rajasthan,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
Rajasthan,JAIPUR(7),MANJU SHARMA,886850,331767
Rajasthan,ALWAR(8),BHUPENDER YADAV,631992,48282
Rajasthan,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
Rajasthan,PALI(15),P. P. CHAUDHARY,757389,245351
Rajasthan,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
Rajasthan,JALORE (18),LUMBARAM,796783,201543
Rajasthan,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
Rajasthan,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
Rajasthan,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
Rajasthan,BHILWARA(23),DAMODAR AGARWAL,807640,354606
Rajasthan,KOTA(24),OM BIRLA,750496,41974
Rajasthan,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
Rajasthan,GANGANAGAR (1),KULDEEP INDORA,726492,88153
Rajasthan,CHURU(3),RAHUL KASWAN,728211,72737
Rajasthan,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
Rajasthan,BHARATPUR (9),SANJNA JATAV,579890,51983
Rajasthan,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
Rajasthan,DAUSA (11),MURARI LAL MEENA,646266,237340
Rajasthan,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
Rajasthan,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
Rajasthan,SIKAR(5),AMRARAM,659300,72896
Rajasthan,NAGAUR(14),HANUMAN BENIWAL,596955,42225
Rajasthan,BANSWARA (20),RAJ KUMAR ROAT,820831,247054
Sikkim,Sikkim(1),INDRA HANG SUBBA,164396,80830
Tamil Nadu,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
Tamil Nadu,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
Tamil Nadu,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
Tamil Nadu,SRIPERUMBUDUR(5),T R BAALU,758611,487029
Tamil Nadu,KANCHEEPURAM(6),SELVAM. G,586044,221473
Tamil Nadu,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
Tamil Nadu,VELLORE(8),DM KATHIR ANAND,568692,215702
Tamil Nadu,DHARMAPURI(10),MANI. A.,432667,21300
Tamil Nadu,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
Tamil Nadu,ARANI(12),THARANIVENTHAN M S,500099,208766
Tamil Nadu,KALLAKURICHI(14),MALAIYARASAN D,561589,53784
Tamil Nadu,SALEM(15),SELVAGANAPATHI T M,566085,70357
Tamil Nadu,NAMAKKAL(16),MATHESWARAN V S,462036,29112
Tamil Nadu,ERODE(17),K E PRAKASH,562339,236566
Tamil Nadu,NILGIRIS(19),RAJA A,473212,240585
Tamil Nadu,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
Tamil Nadu,POLLACHI(21),ESWARASAMY K,533377,252042
Tamil Nadu,PERAMBALUR(25),ARUN NEHRU,603209,389107
Tamil Nadu,THANJAVUR(30),MURASOLI S,502245,319583
Tamil Nadu,THENI(33),THANGA TAMILSELVAN,571493,278825
Tamil Nadu,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
Tamil Nadu,TENKASI(37),DR RANI SRI KUMAR,425679,196199
Tamil Nadu,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
Tamil Nadu,KRISHNAGIRI(9),GOPINATH K,492883,192486
Tamil Nadu,KARUR(23),JOTHIMANI. S,534906,166816
Tamil Nadu,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
Tamil Nadu,MAYILADUTHURAI(28),SUDHA R,518459,271183
Tamil Nadu,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
Tamil Nadu,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
Tamil Nadu,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
Tamil Nadu,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
Tamil Nadu,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
Tamil Nadu,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
Tamil Nadu,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
Tamil Nadu,NAGAPATTINAM(29),SELVARAJ V,465044,208957
Tamil Nadu,DINDIGUL(22),SACHITHANANTHAM R,670149,443821
Tamil Nadu,MADURAI(32),VENKATESAN S,430323,209409
Tamil Nadu,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094
Tamil Nadu,RAMANATHAPURAM(35),NAVASKANI K,509664,166782
Telangana,Adilabad (1),GODAM NAGESH,568168,90652
Telangana,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
Telangana,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
Telangana,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
Telangana,Malkajgiri(7),EATALA RAJENDER,991042,391475
Telangana,Secunderabad(8),G. KISHAN REDDY,473012,49944
Telangana,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
Telangana,Mahbubnagar(11),ARUNA. D. K,510747,4500
Telangana,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
Telangana,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
Telangana,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
Telangana,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
Telangana,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
Telangana,Warangal(15),KADIYAM KAVYA,581294,220339
Telangana,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
Telangana,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
Telangana,Hyderabad(9),ASADUDDIN OWAISI,661981,338087
Tripura,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
Tripura,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
Uttar Pradesh,Kairana(2),IQRA CHOUDHARY,528013,69116
Uttar Pradesh,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
Uttar Pradesh,Moradabad(6),RUCHI VIRA,637363,105762
Uttar Pradesh,Rampur(7),MOHIBBULLAH,481503,87434
Uttar Pradesh,Sambhal(8),ZIA UR REHMAN,571161,121494
Uttar Pradesh,Firozabad(20),AKSHAYA YADAV,543037,89312
Uttar Pradesh,Mainpuri(21),DIMPLE YADAV,598526,221639
Uttar Pradesh,Etah(22),DEVESH SHAKYA,475808,28052
Uttar Pradesh,Badaun(23),ADITYA YADAV,501855,34991
Uttar Pradesh,Aonla(24),NEERAJ MAURYA,492515,15969
Uttar Pradesh,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
Uttar Pradesh,Dhaurahra(29),ANAND BHADAURIYA,443743,4449
Uttar Pradesh,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
Uttar Pradesh,Sultanpur(38),RAMBHUAL NISHAD,444330,43174
Uttar Pradesh,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
Uttar Pradesh,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
Uttar Pradesh,Kannauj(42),AKHILESH YADAV,642292,170922
Uttar Pradesh,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
Uttar Pradesh,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
Uttar Pradesh,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
Uttar Pradesh,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
Uttar Pradesh,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
Uttar Pradesh,Faizabad(54),AWADHESH PRASAD,554289,54567
Uttar Pradesh,Ambedkar Nagar(55),LALJI VERMA,544959,137247
Uttar Pradesh,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
Uttar Pradesh,Basti(61),RAM PRASAD CHAUDHARY,527005,100994
Uttar Pradesh,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
Uttar Pradesh,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
Uttar Pradesh,Azamgarh(69),DHARMENDRA YADAV,508239,161035
Uttar Pradesh,Ghosi(70),RAJEEV RAI,503131,162943
Uttar Pradesh,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
Uttar Pradesh,Ballia(72),SANATAN PANDEY,467068,43384
Uttar Pradesh,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
Uttar Pradesh,Machhlishahr(74),PRIYA SAROJ,451292,35850
Uttar Pradesh,Ghazipur(75),AFZAL ANSARI,539912,124861
Uttar Pradesh,Chandauli(76),BIRENDRA SINGH,474476,21565
Uttar Pradesh,Robertsganj(80),CHHOTELAL,465848,129234
Uttar Pradesh,Amroha(9),KANWAR SINGH TANWAR,476506,28670
Uttar Pradesh,Meerut(10),ARUN GOVIL,546469,10585
Uttar Pradesh,Ghaziabad(12),ATUL GARG,854170,336965
Uttar Pradesh,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
Uttar Pradesh,Bulandshahr(14),DR BHOLA SINGH,597310,275134
Uttar Pradesh,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
Uttar Pradesh,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
Uttar Pradesh,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
Uttar Pradesh,Agra(18),PROF S P SINGH BAGHEL,599397,271294
Uttar Pradesh,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
Uttar Pradesh,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
Uttar Pradesh,Pilibhit(26),JITIN PRASADA,607158,164935
Uttar Pradesh,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
Uttar Pradesh,Hardoi(31),JAI PRAKASH,486798,27856
Uttar Pradesh,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
Uttar Pradesh,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
Uttar Pradesh,Lucknow(35),RAJ NATH SINGH,612709,135159
Uttar Pradesh,Farrukhabad(40),MUKESH RAJPUT,487963,2678
Uttar Pradesh,Kanpur(43),RAMESH AWASTHI,443055,20968
Uttar Pradesh,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
Uttar Pradesh,Jhansi(46),ANURAG SHARMA,690316,102614
Uttar Pradesh,Phulpur(51),PRAVEEN PATEL,452600,4332
Uttar Pradesh,Baharaich(56),ANAND KUMAR,518802,64227
Uttar Pradesh,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
Uttar Pradesh,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
Uttar Pradesh,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
Uttar Pradesh,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
Uttar Pradesh,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
Uttar Pradesh,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
Uttar Pradesh,Deoria(66),SHASHANK MANI,504541,34842
Uttar Pradesh,Bansgaon(67),KAMLESH PASWAN,428693,3150
Uttar Pradesh,Varanasi(77),NARENDRA MODI,612970,152513
Uttar Pradesh,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
Uttar Pradesh,Saharanpur(1),IMRAN MASOOD,547967,64542
Uttar Pradesh,Sitapur(30),RAKESH RATHOR,531138,89641
Uttar Pradesh,Rae Bareli(36),RAHUL GANDHI,687649,390030
Uttar Pradesh,Amethi(37),KISHORI LAL,539228,167196
Uttar Pradesh,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
Uttar Pradesh,Barabanki(53),TANUJ PUNIA,719927,215704
Uttar Pradesh,Bijnor(4),CHANDAN CHAUHAN,404493,37508
Uttar Pradesh,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
Uttar Pradesh,Nagina(5),CHANDRASHEKHAR,512552,151473
Uttar Pradesh,Mirzapur(79),ANUPRIYA PATEL,471631,37810
Uttarakhand,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
Uttarakhand,Garhwal(2),ANIL BALUNI,432159,163503
Uttarakhand,Almora(3),AJAY TAMTA,429167,234097
Uttarakhand,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
Uttarakhand,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
West Bengal,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
West Bengal,Jangipur(9),KHALILUR RAHAMAN,544427,116637
West Bengal,Baharampur(10),PATHAN YUSUF,524516,85022
West Bengal,Murshidabad(11),ABU TAHER KHAN,682442,164215
West Bengal,Krishnanagar(12),MAHUA MOITRA,628789,56705
West Bengal,Barrackpur(15),PARTHA BHOWMICK,520231,64438
West Bengal,Dum dum(16),SOUGATA RAY,528579,70660
West Bengal,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
West Bengal,Basirhat(18),SK NURUL ISLAM,803762,333547
West Bengal,Joynagar(19),PRATIMA MONDAL,894312,470219
West Bengal,Mathurapur(20),BAPI HALDAR,755731,201057
West Bengal,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
West Bengal,Jadavpur(22),SAYANI GHOSH,717899,258201
West Bengal,Kolkata Dakshin(23),MALA ROY,615274,187231
West Bengal,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
West Bengal,Howrah(25),PRASUN BANERJEE,626493,169442
West Bengal,Uluberia(26),SAJDA AHMED,724622,218673
West Bengal,Srerampur(27),KALYAN BANERJEE,673970,174830
West Bengal,Hooghly(28),RACHNA BANERJEE,702744,76853
West Bengal,Arambagh(29),BAG MITALI,712587,6399
West Bengal,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
West Bengal,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
West Bengal,Medinipur(34),JUNE MALIAH,702192,27191
West Bengal,Bankura(36),ARUP CHAKRABORTY,641813,32778
West Bengal,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
West Bengal,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
West Bengal,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
West Bengal,Bolpur(41),ASIT KUMAR MAL,855633,327253
West Bengal,Birbhum(42),SATABDI ROY,717961,197650
West Bengal,Alipurduars(2),MANOJ TIGGA,695314,75447
West Bengal,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
West Bengal,Darjeeling(4),RAJU BISTA,679331,178525
West Bengal,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
West Bengal,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
West Bengal,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
West Bengal,Ranaghat(13),JAGANNATH SARKAR,782396,186899
West Bengal,Bangaon(14),SHANTANU THAKUR,719505,73693
West Bengal,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
West Bengal,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
West Bengal,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
West Bengal,Bishnupur(37),KHAN SAUMITRA,680130,5567
West Bengal,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
